epoch,loss_epoch,trainCSF_epoch,trainGM_epoch,trainWM_epoch,val_loss,valCSF,valGM,valWM
1,0.33992087841033936,0.9405864477157593,0.896712064743042,0.8237425088882446,0.2268446385860443,0.9616886377334595,0.9342511892318726,0.8851019144058228
1,0.20416653156280518,0.9633339643478394,0.9402701258659363,0.9014673829078674,0.17794202268123627,0.9690220952033997,0.9473631978034973,0.9151298403739929
1,0.16204772889614105,0.9714902639389038,0.9537143111228943,0.9210900068283081,0.15032504498958588,0.9721800684928894,0.9576282501220703,0.9313607811927795
2,0.1523280143737793,0.9733211398124695,0.9568955302238464,0.9258169531822205,0.1448013037443161,0.9748622179031372,0.9598663449287415,0.9336035847663879
3,0.14674529433250427,0.9744142293930054,0.95912104845047,0.9285842180252075,0.14036977291107178,0.9752336144447327,0.9612324237823486,0.9367884993553162
4,0.13992637395858765,0.9756956100463867,0.9612417817115784,0.9315270781517029,0.1351824402809143,0.9761896729469299,0.9635167121887207,0.9379705190658569
5,0.13565652072429657,0.9764394760131836,0.9626655578613281,0.9337062835693359,0.13357940316200256,0.976108729839325,0.9626369476318359,0.9402350783348083
6,0.1317034661769867,0.9771928787231445,0.9637142419815063,0.9357249736785889,0.14608532190322876,0.9749154448509216,0.9599393010139465,0.931102454662323
7,0.12782052159309387,0.9778931736946106,0.9651339650154114,0.9375612735748291,0.12084189057350159,0.9795656204223633,0.9672282338142395,0.9431791305541992
8,0.12574069201946259,0.9783089756965637,0.9659610390663147,0.9389798045158386,0.1270878165960312,0.9788404107093811,0.9652373194694519,0.9440078139305115
9,0.12203989923000336,0.9790114760398865,0.9670273661613464,0.940613865852356,0.1201782077550888,0.9797582030296326,0.9680143594741821,0.9457906484603882
10,0.11895560473203659,0.9795647859573364,0.9678785800933838,0.9419351816177368,0.11683177947998047,0.9795963168144226,0.9684536457061768,0.9478460550308228
11,0.11786071211099625,0.9797028303146362,0.9684434533119202,0.9431341290473938,0.11687217652797699,0.9796169996261597,0.9678758382797241,0.9474027156829834
12,0.11550074070692062,0.9801393151283264,0.9692057371139526,0.9440047144889832,0.11115825921297073,0.981458842754364,0.9695300459861755,0.9494419693946838
1,0.11420279741287231,0.980266273021698,0.9698497653007507,0.9451180696487427,0.10817157477140427,0.982032835483551,0.9706281423568726,0.9512608051300049
2,0.1104859933257103,0.9809892773628235,0.9707164764404297,0.9467083811759949,0.10821403563022614,0.9823294281959534,0.9711953401565552,0.9523865580558777
1,0.10702511668205261,0.9815664291381836,0.9717649817466736,0.9487096071243286,0.10312961041927338,0.9824444651603699,0.9723882675170898,0.954470157623291
1,0.10267408192157745,0.9823549389839172,0.9729350805282593,0.9509685039520264,0.10014137625694275,0.9832606315612793,0.9728489518165588,0.9565312266349792
2,0.10030949860811234,0.9828047156333923,0.9735519289970398,0.9524580836296082,0.10450873523950577,0.9819536209106445,0.9708895087242126,0.9548109769821167
3,0.09872828423976898,0.9831016063690186,0.9741662740707397,0.9529814720153809,0.09743371605873108,0.9837391376495361,0.9741721153259277,0.9572943449020386
4,0.09736881405115128,0.9833189845085144,0.974437415599823,0.9534491300582886,0.09764712303876877,0.9833462238311768,0.9737208485603333,0.9579004645347595
5,0.09592284262180328,0.9835882782936096,0.9750494956970215,0.954185962677002,0.09672250598669052,0.9842092990875244,0.973969042301178,0.9570008516311646
6,0.0948602631688118,0.9837812781333923,0.9752765893936157,0.9548777937889099,0.09451979398727417,0.9841806888580322,0.9743964672088623,0.9588353633880615
7,0.0934615209698677,0.9840406179428101,0.9754917025566101,0.9553152918815613,0.09348705410957336,0.9835834503173828,0.9744372963905334,0.9584564566612244
8,0.09379034489393234,0.9839822053909302,0.9755630493164062,0.955487072467804,0.09234312921762466,0.9843828678131104,0.9751312136650085,0.9592874050140381
9,0.09148982167243958,0.9843454360961914,0.9763249158859253,0.9563837051391602,0.0914909765124321,0.9848527908325195,0.9747968316078186,0.9606500864028931
10,0.09207239001989365,0.9841658473014832,0.9760407209396362,0.956346333026886,0.09087449312210083,0.984552264213562,0.9756450057029724,0.9610440731048584
1,0.09159228950738907,0.9842318892478943,0.9761846661567688,0.9568846225738525,0.08974094688892365,0.9845987558364868,0.9751980304718018,0.9617079496383667
2,0.09027288109064102,0.9845216870307922,0.9764240980148315,0.9574267268180847,0.09311540424823761,0.9843617677688599,0.974307119846344,0.9602472186088562
3,0.08446275442838669,0.9854981899261475,0.9782586693763733,0.9601863026618958,0.084989033639431,0.9864992499351501,0.9772207736968994,0.9645006656646729
4,0.08276081085205078,0.9857970476150513,0.9786902666091919,0.9609842896461487,0.08240487426519394,0.9863433241844177,0.9774467945098877,0.9652070999145508
5,0.0834222286939621,0.9857357144355774,0.9785141944885254,0.9611415863037109,0.0832371786236763,0.9859898090362549,0.9775444269180298,0.9649994373321533
6,0.08188550919294357,0.9859949946403503,0.9789678454399109,0.9614096879959106,0.08026544749736786,0.9867851734161377,0.9785363078117371,0.9663041234016418
7,0.081049345433712,0.9861287474632263,0.9791131615638733,0.9620048999786377,0.08323832601308823,0.9850901961326599,0.9769189953804016,0.965155303478241
8,0.08086053282022476,0.9861701130867004,0.9791852235794067,0.9620408415794373,0.08101630210876465,0.9866703152656555,0.9782419204711914,0.9672203660011292
9,0.07977104932069778,0.9863594174385071,0.9794643521308899,0.9625685811042786,0.07774626463651657,0.9870468378067017,0.9789966940879822,0.9673627614974976
10,0.08016079664230347,0.986280620098114,0.9794265627861023,0.9623863101005554,0.07967419922351837,0.9865955710411072,0.9784669280052185,0.9667444825172424
